,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO
1921,2908606.0,Conde,29.0,BA,448.8,450.5210526315789,422.96315789473687,465.8,535.7894736842105
1922,2908705.0,Condeúba,29.0,BA,480.4888888888888,503.9368421052631,467.5473684210526,514.7222222222222,575.7894736842105
1923,2908804.0,Contendas do Sincorá,29.0,BA,439.92857142857144,416.9142857142857,449.62857142857143,468.74285714285713,405.7142857142857
1924,2908903.0,Coração de Maria,29.0,BA,440.46097560975613,441.9488372093023,445.2,465.29024390243904,563.2558139534884
1925,2909000.0,Cordeiros,29.0,BA,474.53888888888895,483.9888888888888,473.4055555555555,476.8833333333333,525.5555555555555
1926,2909109.0,Coribe,29.0,BA,453.75454545454545,455.244,443.344,489.44090909090914,608.0
1927,2909208.0,Coronel João Sá,29.0,BA,447.1914285714286,463.25277777777774,439.2638888888889,460.09714285714284,597.2222222222222
1928,2909307.0,Correntina,29.0,BA,469.64179104477614,475.70428571428573,459.89714285714285,497.4537313432836,548.5714285714286
1929,2909406.0,Cotegipe,29.0,BA,442.3388888888889,461.0894736842106,438.8,473.1166666666667,588.421052631579
1930,2909505.0,Cravolândia,29.0,BA,409.29999999999995,392.85,400.75,456.2,610.0
1931,2909604.0,Crisópolis,29.0,BA,459.98,479.04,465.43199999999996,477.25199999999995,625.6
1932,2909703.0,Cristópolis,29.0,BA,438.66,480.98,473.37,469.33000000000004,476.0
1933,2909802.0,Cruz das Almas,29.0,BA,484.87629629629635,511.4778571428571,489.1425,530.3540740740741,620.1428571428571
1934,2909901.0,Curaçá,29.0,BA,460.7,460.2129032258065,450.2483870967742,486.44642857142856,493.5483870967742
1935,2910008.0,Dário Meira,29.0,BA,488.63,439.68999999999994,456.02,449.28000000000003,542.0
1936,2910057.0,Dias d'Ávila,29.0,BA,462.03184713375794,490.8589285714286,474.17797619047616,496.14267515923564,536.4285714285714
1937,2910107.0,Dom Basílio,29.0,BA,464.8230769230769,469.34615384615387,432.8230769230769,494.2230769230769,501.53846153846155
1938,2910206.0,Dom Macedo Costa,29.0,BA,448.93999999999994,452.06666666666666,443.17777777777775,437.78000000000003,546.6666666666666
1939,2910305.0,Elísio Medrado,29.0,BA,463.67727272727274,467.33478260869566,467.83043478260873,480.3545454545454,601.7391304347826
1940,2910404.0,Encruzilhada,29.0,BA,453.4555555555555,518.6222222222223,515.1666666666666,482.1333333333333,555.5555555555555
